filename,tgt_polygon,use_polygon
-9bvNvBWAX3xjKfJzS4vTA_56.png,"[[32.0, 1.0], [106.0, 32.0], [77.0, 108.0], [3.0, 77.0]]",True
-LtOhSguWQXyerbzUN6HpA_40.png,"[[39.0, 8.0], [149.0, 44.0], [112.0, 148.0], [5.0, 112.0]]",True
-YF7yrS0WkRqW2CUBmSOtw_33.png,"[[31.0, 0.0], [104.0, 29.0], [75.0, 105.0], [0.0, 73.0]]",True
-gmH2vOSnm6NBWRa4-UhTg_24.png,"[[33.0, 1.0], [120.0, 41.0], [92.0, 121.0], [3.0, 86.0]]",True
-i3WC4H43BVUh5nZsJgThQ_121.png,"[[37.0, 3.0], [126.0, 34.0], [95.0, 126.0], [4.0, 91.0]]",True
-i3WC4H43BVUh5nZsJgThQ_123.png,"[[39.0, 1.0], [142.0, 44.0], [103.0, 142.0], [1.0, 99.0]]",True
056PRDIdH73i9SjAk2zT1w_92.png,"[[55.0, 32.0], [241.0, 61.0], [196.0, 222.0], [15.0, 193.0]]",True
0NquXdbXeGCs8rw3XJ2apQ_26.png,"[[80.0, 0.0], [279.0, 79.0], [196.0, 279.0], [0.0, 200.0]]",True
0wCxQ_bV7onu-MtYzAaNwQ_31.png,"[[43.0, 5.0], [158.0, 42.0], [102.0, 159.0], [1.0, 117.0]]",True
0wr7Fc2EC2R4ZDPucrlPgA_40.png,"[[29.0, 2.0], [95.0, 28.0], [77.0, 101.0], [7.0, 74.0]]",True
11NKfv7sx4-XU_lupQ1JhA_48.png,"[[27.0, 0.0], [92.0, 26.0], [67.0, 92.0], [0.0, 65.0]]",True
1dpJ7hHZtzjF7oz_qIfyDQ_108.png,"[[25.0, 2.0], [87.0, 23.0], [66.0, 86.0], [3.0, 67.0]]",True
1j3CPmAeIgDXyRYq70cG0Q_81.png,"[[33.0, 0.0], [115.0, 34.0], [86.0, 117.0], [3.0, 82.0]]",True
1x2rU_0GGfskEMiyB5SDiQ_62.png,"[[40.0, 0.0], [135.0, 42.0], [109.0, 139.0], [7.0, 103.0]]",True
1xTuWZYV9jFraS-q5crArg_44.png,"[[43.0, 1.0], [133.0, 38.0], [89.0, 132.0], [0.0, 94.0]]",True
1xTuWZYV9jFraS-q5crArg_52.png,"[[37.0, 4.0], [135.0, 40.0], [97.0, 133.0], [1.0, 102.0]]",True
2-nBH8NXxGFPCoSk4T_s1g_46.png,"[[12.0, 0.0], [43.0, 11.0], [31.0, 43.0], [0.0, 32.0]]",True
2EG-9qqAB81t0bjWF0iS9Q_66.png,"[[25.0, 1.0], [83.0, 25.0], [56.0, 83.0], [2.0, 60.0]]",True
2EG-9qqAB81t0bjWF0iS9Q_77.png,"[[67.0, 4.0], [243.0, 68.0], [187.0, 250.0], [9.0, 178.0]]",True
2F347mUCp7cpMquLeeszGw_51.png,"[[30.0, 1.0], [88.0, 26.0], [66.0, 89.0], [2.0, 65.0]]",True
2K8S0ZRvSHjfm1PwtXl01Q_84.png,"[[37.0, 2.0], [127.0, 32.0], [94.0, 123.0], [4.0, 95.0]]",True
2S5RJ650snwQ_QjKZfd5FA_150.png,"[[74.0, 9.0], [287.0, 91.0], [224.0, 291.0], [10.0, 202.0]]",True
2SYXukg_XcwH7F-6qHAXDg_71.png,"[[22.0, 5.0], [75.0, 19.0], [56.0, 71.0], [1.0, 56.0]]",True
2T8whq-xxHa5T30ZxLlOTA_165.png,"[[35.0, 0.0], [106.0, 37.0], [76.0, 109.0], [3.0, 78.0]]",True
2sjuGKVUrK3MOEKjPXRjIw_74.png,"[[114.0, 0.0], [330.0, 102.0], [244.0, 337.0], [8.0, 232.0]]",True
2wDFHUSUHHGdCt7x6fOZVg_47.png,"[[86.0, 7.0], [276.0, 73.0], [194.0, 273.0], [0.0, 199.0]]",True
36iNN_5lKC_CrOiFjmcF9w_78.png,"[[18.0, 3.0], [61.0, 17.0], [47.0, 60.0], [4.0, 45.0]]",True
